Archivo;Tamaño(K);Cant Palabras Inicial;Cant Palabras depuradas;Vocabulario Inicial;Vocabulario Final
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.1103.txt;58;10949;10949;1410;921
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.2109.txt;53;10272;10272;1238;721
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.2506.txt;25;4333;4333;1065;679
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.2524.txt;40;7790;7790;853;540
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.2988.txt;53;9164;9164;1532;924
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.3556.txt;19;3574;3574;726;428
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.3764.txt;54;9755;9755;1532;960
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.3975.txt;14;2666;2666;638;400
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.4066.txt;42;8781;8781;993;611
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.4723.txt;22;3499;3499;916;627
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.4729.txt;34;6281;6281;1350;856
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.4908.txt;20;3485;3485;850;544
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.5117.txt;10;1594;1594;566;367
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.5218.txt;23;3472;3472;1201;790
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.5374.txt;30;5963;5963;998;605
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.5536.txt;55;8905;8905;1244;767
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.5965.txt;41;7786;7786;1231;828
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.6116.txt;18;3067;3067;858;553
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.6169.txt;29;5716;5716;936;590
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.6845.txt;61;11444;11444;2036;1263
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.7274.txt;38;7409;7409;1138;693
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1407.7459.txt;7;1435;1435;418;277
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1408.0135.txt;20;3139;3139;934;613
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1408.0652.txt;13;2200;2200;749;482
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1408.0807.txt;52;10063;10063;1315;764
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1408.0848.txt;42;7344;7344;1483;992
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1408.0948.txt;28;5508;5508;840;547
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1408.1025.txt;10;1883;1883;494;308
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1408.1118.txt;40;6856;6856;1652;1068
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1408.1390.txt;14;2731;2731;632;392
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1408.1868.txt;25;5411;5411;536;312
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1408.2071.txt;50;10051;10051;1229;727
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1408.2467.txt;22;4071;4071;1022;667
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1408.3030.txt;59;10552;10552;1493;883
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1408.3190.txt;43;8912;8912;920;577
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1408.3310.txt;36;6901;6901;1065;625
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1408.3743.txt;8;1782;1782;404;244
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1408.3869.txt;14;3023;3023;497;322
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1408.3877.txt;72;13612;13612;1929;1243
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1408.3976.txt;72;11860;11860;2052;1199
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1408.4528.txt;40;7203;7203;1085;641
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1408.6321.txt;27;5006;5006;854;515
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1408.6771.txt;44;8245;8245;1152;683
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1408.6923.txt;18;3004;3004;876;557
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1409.0264.txt;69;13097;13097;1496;939
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1409.0375.txt;8;1598;1598;391;249
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1409.1467.txt;51;9543;9543;1623;982
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1409.1714.txt;23;4204;4204;1161;763
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1409.2193.txt;124;23323;23323;2168;1233
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1409.2248.txt;15;2814;2814;729;475
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1409.2612.txt;13;2624;2624;482;295
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1409.2908.txt;57;9912;9912;1680;1066
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1409.3176.txt;48;7949;7949;1396;828
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1409.3562.txt;77;15089;15089;1721;1130
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1409.3600.txt;20;3834;3834;710;437
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1409.3954.txt;37;6765;6765;1092;670
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1409.4575.txt;20;3740;3740;819;549
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1409.4711.txt;158;29481;29481;2230;1221
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1409.6182.txt;11;1778;1778;601;389
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1409.6193.txt;16;2797;2797;895;636
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1409.6777.txt;30;5558;5558;892;568
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1409.7579.txt;52;9158;9158;1610;1062
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1409.8061.txt;18;3909;3909;669;419
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1409.8230.txt;39;6818;6818;1159;717
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1409.8498.txt;29;5119;5119;1240;780
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1409.8580.txt;37;7077;7077;1163;709
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1410.0446.txt;16;2847;2847;859;581
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1410.0736.txt;35;5921;5921;1346;898
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1410.2670.txt;21;3370;3370;922;596
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1410.2752.txt;29;5378;5378;974;593
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1410.3247.txt;29;6718;6718;956;604
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1410.3351.txt;58;11748;11748;1452;911
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1410.3764.txt;23;4776;4776;844;508
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1410.3877.txt;22;4105;4105;797;501
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1410.4060.txt;23;4375;4375;935;585
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1410.4536.txt;33;6150;6150;1152;745
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1410.4617.txt;55;10027;10027;1800;1072
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1410.5131.txt;93;23520;23520;758;450
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1410.5920.txt;20;3838;3838;808;528
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1410.6516.txt;28;5164;5164;885;550
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1410.7082.txt;20;3904;3904;787;523
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1410.7694.txt;36;6815;6815;1189;726
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1410.8663.txt;36;7407;7407;1019;634
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.0187.txt;64;12475;12475;1463;874
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.0440.txt;133;21568;21568;3915;2353
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.0998.txt;72;13117;13117;1611;979
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.1124.txt;59;12653;12653;1417;851
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.1420.txt;133;27504;27504;2100;1232
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.1751.txt;38;7287;7287;1203;771
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.2419.txt;18;4070;4070;710;448
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.3010.txt;7;1343;1343;475;291
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.3140.txt;30;4962;4962;1333;912
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.3444.txt;15;2924;2924;820;573
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.3517.txt;21;4412;4412;728;456
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.4097.txt;67;11898;11898;1682;1033
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.4498.txt;57;10928;10928;1137;664
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.4696.txt;17;3240;3240;566;334
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.4823.txt;21;3706;3706;837;501
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.4840.txt;35;6277;6277;1250;861
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.5123.txt;125;25240;25240;1778;976
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.5166.txt;20;3506;3506;852;524
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.5735.txt;38;7274;7274;1236;773
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.5878.txt;86;14060;14060;2606;1641
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.6057.txt;50;8551;8551;1737;1106
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.6538.txt;33;6194;6194;1107;661
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.6907.txt;20;3375;3375;887;576
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.7086.txt;35;6966;6966;1087;647
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.7087.txt;48;9718;9718;1041;632
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.7346.txt;88;16493;16493;1868;1084
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.7632.txt;45;8392;8392;1431;891
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1411.7895.txt;42;7531;7531;1773;1209
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.0291.txt;88;14814;14814;2502;1479
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.0340.txt;35;6794;6794;1184;788
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.1538.txt;21;4015;4015;844;552
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.1547.txt;34;6486;6486;1067;668
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.1695.txt;49;9979;9979;970;562
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.1866.txt;43;7587;7587;1547;952
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.2114.txt;8;1422;1422;458;274
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.2231.txt;20;3941;3941;936;612
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.2526.txt;25;4471;4471;1050;687
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.2684.txt;36;6170;6170;1376;912
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.2877.txt;25;4004;4004;1001;602
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.3347.txt;68;13758;13758;1282;769
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.3701.txt;62;11506;11506;1279;752
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.4171.txt;159;27040;27040;3357;1946
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.4198.txt;17;3576;3576;645;401
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.4586.txt;27;4986;4986;836;520
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.5204.txt;9;1892;1892;447;284
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.5374.txt;27;5157;5157;784;480
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.5466.txt;38;8139;8139;1016;614
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.5669.txt;57;11253;11253;1253;763
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.5718.txt;41;7391;7391;1588;1031
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.5831.txt;48;9257;9257;1700;1069
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.5902.txt;54;9331;9331;1645;1033
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.6466.txt;28;5488;5488;734;447
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.6622.txt;14;2336;2336;743;476
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.6761.txt;40;7848;7848;1036;668
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.6808.txt;80;15255;15255;1737;1039
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.7172.txt;42;7505;7505;1332;855
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.7646.txt;93;16775;16775;1835;1055
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.7725.txt;65;10737;10736;1998;1222
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.7839.txt;68;13969;13969;1626;998
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.7998.txt;66;12564;12564;1436;865
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.8324.txt;26;4781;4781;902;562
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.8358.txt;16;3497;3497;494;322
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1412.8591.txt;13;2176;2176;721;470
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1501.00433.txt;96;19048;19048;1632;1013
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1501.00960.txt;40;7139;7139;1673;1149
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1501.01042.txt;75;13730;13730;1849;1126
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1501.02741.txt;46;7901;7901;1634;1033
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1501.03043.txt;70;12582;12582;1454;891
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1501.03347.txt;75;13352;13352;1538;991
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1501.03872.txt;13;2425;2425;658;394
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1501.04147.txt;87;16473;16473;2016;1213
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1501.04318.txt;17;3000;3000;769;498
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1501.04343.txt;61;11436;11436;1265;768
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1501.04706.txt;24;4124;4124;852;515
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1501.04836.txt;26;4634;4634;1118;703
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1501.05098.txt;40;7397;7397;1287;801
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1501.05151.txt;44;7594;7594;1209;745
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1501.05260.txt;3;690;690;191;110
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1501.05354.txt;20;3738;3738;866;571
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1501.06076.txt;48;12249;12249;786;459
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1501.06297.txt;24;4142;4142;1138;766
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1501.06654.txt;68;13093;13093;1715;1052
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1501.07496.txt;15;2566;2566;930;645
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1501.07584.txt;15;2599;2599;827;545
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1501.07637.txt;63;11518;11518;1742;1073
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.00112.txt;17;3520;3520;541;313
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.01187.txt;50;9993;9993;1123;679
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.01410.txt;56;9817;9817;1890;1132
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.01494.txt;21;4010;4010;765;504
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.01566.txt;14;2555;2555;732;504
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.01865.txt;42;8521;8521;1047;636
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.02253.txt;23;4504;4504;589;334
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.02272.txt;251;43872;43872;4631;2694
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.02348.txt;61;11541;11541;1450;913
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.02481.txt;64;12412;12412;1320;782
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.02511.txt;46;7710;7710;1293;829
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.02800.txt;54;10190;10190;1510;950
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.02908.txt;45;7725;7725;1632;1023
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.03097.txt;41;7620;7620;1380;857
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.03371.txt;20;3954;3954;751;440
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.03387.txt;19;3289;3289;949;614
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.03951.txt;99;18759;18759;1937;1190
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.04052.txt;36;6058;6058;1384;876
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.04147.txt;94;17201;17201;2153;1324
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.04382.txt;74;14837;14837;1533;904
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.04634.txt;46;8570;8570;1480;931
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.05058.txt;35;6060;6060;1214;779
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.05183.txt;114;20086;20086;2106;1197
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.05472.txt;43;7447;7447;1542;1002
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.05491.txt;67;11822;11822;1987;1257
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.05507.txt;28;5653;5653;879;556
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.05632.txt;90;18700;18700;1291;748
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1502.05767.txt;62;10188;10188;2239;1424
